日付,識別コード,商品名,数量,備考
2021/1/5 0:00,"001",商品A,66,"メモなど"
2021/1/5 0:00,"001",商品A,66,"メモなど"
2021/1/6 0:00,"001",商品A,122,"メモなど"
2021/1/7 0:00,"001",商品A,55,"メモなど"
2021/1/8 0:00,"001",商品A,135,"メモなど"
2021/1/12 0:00,"001",商品A,162,"メモなど"
2021/1/12 0:00,"001",商品A,162,"メモなど"
2021/1/12 0:00,"001",商品A,162,"メモなど"
2021/1/12 0:00,"001",商品A,162,"メモなど"
2021/1/13 0:00,"001",商品A,76,"メモなど"
2021/1/14 0:00,"001",商品A,40,"メモなど"
2021/1/15 0:00,"001",商品A,34,"メモなど"
2021/1/16 0:00,"001",商品A,29,"メモなど"
2021/1/18 0:00,"001",商品A,203,"メモなど"
2021/1/19 0:00,"001",商品A,93,"メモなど"
2021/1/20 0:00,"001",商品A,72,"メモなど"
2021/1/21 0:00,"001",商品A,54,"メモなど"
2021/1/22 0:00,"001",商品A,37,"メモなど"
2021/1/25 0:00,"001",商品A,140,"メモなど"
2021/1/26 0:00,"001",商品A,33,"メモなど"
2021/1/27 0:00,"001",商品A,85,"メモなど"
2021/1/28 0:00,"001",商品A,59,"メモなど"
2021/1/29 0:00,"001",商品A,97,"メモなど"
2021/2/1 0:00,"001",商品A,141,"メモなど"
2021/2/2 0:00,"001",商品A,76,"メモなど"
2021/2/3 0:00,"001",商品A,102,"メモなど"
2021/2/4 0:00,"001",商品A,61,"メモなど"
2021/2/5 0:00,"001",商品A,108,"メモなど"
2021/2/8 0:00,"001",商品A,179,"メモなど"
2021/2/9 0:00,"001",商品A,38,"メモなど"
2021/2/10 0:00,"001",商品A,60,"メモなど"
2021/2/12 0:00,"001",商品A,84,"メモなど"
2021/2/15 0:00,"001",商品A,108,"メモなど"
2021/2/16 0:00,"001",商品A,39,"メモなど"
2021/2/17 0:00,"001",商品A,73,"メモなど"
2021/2/18 0:00,"001",商品A,108,"メモなど"
2021/2/19 0:00,"001",商品A,59,"メモなど"
2021/2/22 0:00,"001",商品A,99,"メモなど"
2021/2/24 0:00,"001",商品A,82,"メモなど"
2021/2/25 0:00,"001",商品A,82,"メモなど"
2021/2/26 0:00,"001",商品A,105,"メモなど"
2021/3/1 0:00,"001",商品A,180,"メモなど"
2021/3/2 0:00,"001",商品A,116,"メモなど"
2021/3/3 0:00,"001",商品A,35,"メモなど"
2021/3/4 0:00,"001",商品A,97,"メモなど"
2021/3/5 0:00,"001",商品A,69,"メモなど"
2021/3/8 0:00,"001",商品A,172,"メモなど"
2021/3/9 0:00,"001",商品A,58,"メモなど"
